Employee_Name,EmpID,MaritalStatusID,GenderID,EmpStatusID,PerfScoreID,Salary,DOB,Sex,DateofHire,DateofTermination,EmploymentStatus,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Adinolfi, Wilson  K",10026,0,1,1,4,62506,7/10/1983,M ,7/5/2011,,Active,Exceeds,4.6,5,0,1/17/2019,0,1
"Ait Sidi, Karthikeyan   ",10084,1,1,5,3,104437,5/5/1975,M ,3/30/2015,6/16/2016,Voluntarily Terminated,Fully Meets,4.96,3,6,2/24/2016,0,17
"Akinkuolie, Sarah",10196,1,0,5,3,64955,09/19/88,F,7/5/2011,9/24/2012,Voluntarily Terminated,Fully Meets,3.02,3,0,5/15/2012,0,3
"Alagbe,Trina",10088,1,0,1,3,64991,09/27/88,F,1/7/2008,,Active,Fully Meets,4.84,5,0,1/3/2019,0,15
"Anderson, Carol ",10069,2,0,5,3,50825,9/8/1989,F,7/11/2011,9/6/2016,Voluntarily Terminated,Fully Meets,5,4,0,2/1/2016,0,2
"Anderson, Linda  ",10002,0,0,1,4,57568,05/22/77,F,1/9/2012,,Active,Exceeds,5,5,0,1/7/2019,0,15
"Andreola, Colby",10194,0,0,1,3,95660,05/24/79,F,11/10/2014,,Active,Fully Meets,3.04,3,4,1/2/2019,0,19
"Athwal, Sam",10062,4,1,1,3,59365,02/18/83,M ,9/30/2013,,Active,Fully Meets,5,4,0,2/25/2019,0,19
"Bachiochi, Linda",10114,0,0,3,3,47837,2/11/1970,F,7/6/2009,,Active,Fully Meets,4.46,3,0,1/25/2019,0,4
"Bacong, Alejandro ",10250,2,1,1,3,50178,1/7/1988,M ,1/5/2015,,Active,Fully Meets,5,5,6,2/18/2019,0,16
"Baczenski, Rachael  ",10252,1,0,5,3,54670,1/12/1974,F,1/10/2011,1/12/2017,Voluntarily Terminated,Fully Meets,4.2,4,0,1/30/2016,0,12
"Barbara, Thomas",10242,1,1,5,3,47211,02/21/74,M ,4/2/2012,9/19/2016,Voluntarily Terminated,Fully Meets,4.2,3,0,5/6/2016,0,15
"Barbossa, Hector",10012,2,1,1,4,92328,7/4/1988,M ,11/10/2014,,Active,Exceeds,4.28,4,5,2/25/2019,0,9
"Barone, Francesco  A",10265,0,1,1,3,58709,07/20/83,M ,2/20/2012,,Active,Fully Meets,4.6,4,0,2/14/2019,0,7
"Barton, Nader",10066,2,1,5,3,52505,07/15/77,M ,9/24/2012,4/6/2017,Voluntarily Terminated,Fully Meets,5,5,0,3/2/2017,0,1
"Bates, Norman",10061,0,1,4,3,57834,10/18/81,M ,2/21/2011,8/4/2017,Terminated for Cause,Fully Meets,5,4,0,4/5/2017,0,20
"Beak, Kimberly  ",10023,1,0,2,4,70131,04/17/66,F,7/21/2016,,Active,Exceeds,4.4,3,0,1/14/2019,0,16
"Beatrice, Courtney ",10055,0,0,1,3,59026,10/27/70,F,4/4/2011,,Active,Fully Meets,5,5,0,1/14/2019,0,12
"Becker, Renee",10245,0,0,4,3,110000,4/4/1986,F,7/7/2014,9/12/2015,Terminated for Cause,Fully Meets,4.5,4,5,1/15/2015,0,8
"Becker, Scott",10277,0,1,3,3,53250,4/6/1979,M ,7/8/2013,,Active,Fully Meets,4.2,4,0,1/11/2019,0,13
